== 85% efficiency cuts (nominal) ==
  centile      FCal A+C SumET [TeV]
  -------      --------------------
    80%              0.063719
    79%              0.06956
    78%              0.075838
    77%              0.082548
    76%              0.089723
    75%              0.097388
    74%              0.105619
    73%              0.114352
    72%              0.123657
    71%              0.133573
    70%              0.14414
    69%              0.155307
    68%              0.167193
    67%              0.179776
    66%              0.193096
    65%              0.207148
    64%              0.22199
    63%              0.237615
    62%              0.25407
    61%              0.27137
    60%              0.289595
    59%              0.308686
    58%              0.328744
    57%              0.349697
    56%              0.371561
    55%              0.394518
    54%              0.418573
    53%              0.443549
    52%              0.46959
    51%              0.49675
    50%              0.525092
    49%              0.554569
    48%              0.585275
    47%              0.617108
    46%              0.65018
    45%              0.684377
    44%              0.719896
    43%              0.756791
    42%              0.795018
    41%              0.834538
    40%              0.87541
    39%              0.917795
    38%              0.961609
    37%              1.0068
    36%              1.05367
    35%              1.10211
    34%              1.15214
    33%              1.20373
    32%              1.25693
    31%              1.31197
    30%              1.36875
    29%              1.42719
    28%              1.48744
    27%              1.55005
    26%              1.61434
    25%              1.68058
    24%              1.74932
    23%              1.81997
    22%              1.89316
    21%              1.96859
    20%              2.04651
    19%              2.12711
    18%              2.21002
    17%              2.29572
    16%              2.38468
    15%              2.47658
    14%              2.57162
    13%              2.66999
    12%              2.77237
    11%              2.87864
    10%              2.98931
    9%               3.10407
    8%               3.22397
    7%               3.34945
    6%               3.48077
    5%               3.61844
    4%               3.7635
    3%               3.91763
    2%               4.08137
    1%               4.26258

== 84% efficiency cuts (DOWN variation) ==
  centile      FCal A+C SumET [TeV]
  -------      --------------------
    80%              0.058527
    79%              0.064057
    78%              0.069999
    77%              0.076379
    76%              0.083214
    75%              0.09052
    74%              0.098342
    73%              0.106732
    72%              0.115651
    71%              0.12515
    70%              0.135286
    69%              0.146078
    68%              0.157514
    67%              0.169673
    66%              0.182579
    65%              0.196214
    64%              0.210613
    63%              0.225837
    62%              0.241851
    61%              0.258713
    60%              0.276461
    59%              0.295168
    58%              0.314811
    57%              0.335361
    56%              0.356885
    55%              0.379373
    54%              0.402984
    53%              0.427675
    52%              0.453331
    51%              0.480118
    50%              0.508105
    49%              0.537254
    48%              0.567621
    47%              0.599129
    46%              0.631882
    45%              0.665879
    44%              0.701144
    43%              0.737746
    42%              0.775749
    41%              0.815154
    40%              0.855791
    39%              0.897878
    38%              0.941579
    37%              0.986655
    36%              1.0334
    35%              1.08171
    34%              1.13168
    33%              1.18333
    32%              1.23644
    31%              1.29143
    30%              1.34812
    29%              1.40677
    28%              1.46718
    27%              1.52974
    26%              1.59422
    25%              1.66063
    24%              1.7295
    23%              1.80042
    22%              1.87379
    21%              1.94949
    20%              2.0277
    19%              2.10858
    18%              2.19205
    17%              2.27819
    16%              2.36745
    15%              2.45993
    14%              2.55558
    13%              2.65451
    12%              2.75761
    11%              2.86439
    10%              2.9759
    9%               3.09149
    8%               3.21218
    7%               3.33876
    6%               3.47119
    5%               3.60999
    4%               3.75643
    3%               3.91194
    2%               4.07724
    1%               4.26017

== 86% efficiency cuts (UP variation) ==
  centile      FCal A+C SumET [TeV]
  -------      --------------------
    80%              0.069136
    79%              0.07531
    78%              0.081906
    77%              0.088954
    76%              0.09648
    75%              0.104536
    74%              0.113101
    73%              0.122216
    72%              0.131908
    71%              0.142242
    70%              0.15318
    69%              0.164806
    68%              0.177083
    67%              0.190096
    66%              0.203824
    65%              0.218281
    64%              0.233553
    63%              0.249597
    62%              0.266458
    61%              0.284192
    60%              0.302826
    59%              0.322382
    58%              0.342787
    57%              0.364095
    56%              0.386397
    55%              0.409774
    54%              0.434162
    53%              0.459497
    52%              0.485844
    51%              0.513454
    50%              0.542107
    49%              0.571956
    48%              0.602869
    47%              0.634998
    46%              0.668303
    45%              0.702811
    44%              0.738626
    43%              0.775749
    42%              0.814217
    41%              0.85383
    40%              0.894902
    39%              0.937428
    38%              0.981313
    37%              1.02683
    36%              1.07376
    35%              1.12226
    34%              1.17244
    33%              1.22398
    32%              1.27719
    31%              1.33218
    30%              1.38892
    29%              1.44736
    28%              1.50764
    27%              1.57
    26%              1.63416
    25%              1.70029
    24%              1.76876
    23%              1.83945
    22%              1.91222
    21%              1.98743
    20%              2.06495
    19%              2.14525
    18%              2.22772
    17%              2.31305
    16%              2.40148
    15%              2.49292
    14%              2.58742
    13%              2.68513
    12%              2.78688
    11%              2.89266
    10%              3.00247
    9%               3.11632
    8%               3.23537
    7%               3.35982
    6%               3.49022
    5%               3.62674
    4%               3.77047
    3%               3.92323
    2%               4.08541
    1%               4.2649

